offline_datapoint_16 1686495535 484073472,000
offline_datapoint_5 1686495535 8703725568,000
offline_datapoint_11 1686495535 219676672,000
offline_datapoint_27 1686495535 9884,000
offline_datapoint_21 1686495533 2,336
offline_datapoint_10 1686495533 11032,138
offline_datapoint_23 1686495535 219676672,000
offline_datapoint_3 1686495533 2,336
offline_datapoint_22 1686495535 4601995264,000
offline_datapoint_9 1686495535 7212449792,000
offline_datapoint_8 1686495533 0,348
offline_datapoint_14 1686495533 4,697
offline_datapoint_26 1686495533 2,477
offline_datapoint_15 1686495533 6883,488
offline_datapoint_20 1686495535 0,000
offline_datapoint_2 1686495533 7584,386
offline_datapoint_18 1686495533 1049,345
offline_datapoint_0 1686495533 0,808
offline_datapoint_19 1686495533 23,030
offline_datapoint_12 1686495533 99,020
offline_datapoint_1 1686495533 4,339
offline_datapoint_24 1686495533 6648,580
offline_datapoint_6 1686495533 0,008
offline_datapoint_13 1686495538 251767,000
offline_datapoint_7 1686495538 2802,000
offline_datapoint_28 1686495538 598175744,000
offline_datapoint_16 1686495538 480985088,000
offline_datapoint_5 1686495538 8692887552,000
offline_datapoint_11 1686495538 220487680,000
offline_datapoint_27 1686495538 9908,000
offline_datapoint_21 1686495536 11,003
offline_datapoint_10 1686495536 14075,720
offline_datapoint_23 1686495538 220487680,000
offline_datapoint_3 1686495536 4,001
offline_datapoint_22 1686495538 4594716672,000
offline_datapoint_9 1686495538 7202533376,000
offline_datapoint_8 1686495536 0,087
offline_datapoint_14 1686495536 4,937
offline_datapoint_26 1686495536 2,389
offline_datapoint_15 1686495536 5182,282
offline_datapoint_20 1686495538 0,000
offline_datapoint_2 1686495536 5797,807
offline_datapoint_18 1686495536 598,186
offline_datapoint_0 1686495536 0,774
offline_datapoint_19 1686495536 22,007
offline_datapoint_12 1686495536 98,960
offline_datapoint_1 1686495536 5,002
offline_datapoint_24 1686495536 13901,576
offline_datapoint_6 1686495536 0,008
offline_datapoint_13 1686495541 251767,000
offline_datapoint_7 1686495541 2808,000
offline_datapoint_28 1686495541 598474752,000
offline_datapoint_16 1686495541 481431552,000
offline_datapoint_5 1686495541 8703651840,000
offline_datapoint_11 1686495541 220360704,000
offline_datapoint_27 1686495541 9900,000
offline_datapoint_21 1686495539 2,332
offline_datapoint_10 1686495539 13491,700
offline_datapoint_23 1686495541 220360704,000
offline_datapoint_3 1686495539 2,332
offline_datapoint_22 1686495541 4605227008,000
offline_datapoint_9 1686495541 7214575616,000
offline_datapoint_8 1686495539 0,217
offline_datapoint_14 1686495539 4,661
offline_datapoint_26 1686495539 2,212
offline_datapoint_15 1686495539 5234,113
offline_datapoint_20 1686495541 0,000
offline_datapoint_2 1686495539 5958,335
offline_datapoint_18 1686495539 1043,358
offline_datapoint_0 1686495539 1,687
offline_datapoint_19 1686495539 31,980
offline_datapoint_12 1686495539 97,875
offline_datapoint_1 1686495539 8,328
offline_datapoint_24 1686495539 14037,333
offline_datapoint_6 1686495539 0,017
offline_datapoint_13 1686495544 251767,000
offline_datapoint_7 1686495544 2832,000
offline_datapoint_28 1686495544 598880256,000
offline_datapoint_16 1686495544 481456128,000
offline_datapoint_5 1686495544 8717049856,000
offline_datapoint_11 1686495544 219324416,000
offline_datapoint_27 1686495544 9886,000
offline_datapoint_21 1686495542 4,664
offline_datapoint_10 1686495542 15920,761
offline_datapoint_23 1686495544 219324416,000
offline_datapoint_3 1686495542 2,332
offline_datapoint_22 1686495544 4617437184,000
offline_datapoint_9 1686495544 7227334656,000
offline_datapoint_8 1686495542 0,260
offline_datapoint_14 1686495542 5,650
offline_datapoint_26 1686495542 2,820
offline_datapoint_15 1686495542 5977,115
offline_datapoint_20 1686495544 0,000
offline_datapoint_2 1686495542 6346,916
offline_datapoint_18 1686495542 1121,729
offline_datapoint_0 1686495542 1,044
offline_datapoint_19 1686495542 27,652
offline_datapoint_12 1686495542 98,652
offline_datapoint_1 1686495542 4,997
offline_datapoint_24 1686495542 10906,217
offline_datapoint_6 1686495542 0,010
offline_datapoint_13 1686495547 251767,000
offline_datapoint_7 1686495547 2826,000
offline_datapoint_28 1686495547 598917120,000
offline_datapoint_16 1686495547 481460224,000
offline_datapoint_5 1686495547 8716197888,000
offline_datapoint_11 1686495547 218689536,000
offline_datapoint_27 1686495547 9884,000
offline_datapoint_21 1686495545 2,668
offline_datapoint_10 1686495545 6409,289
offline_datapoint_23 1686495547 218689536,000
offline_datapoint_3 1686495545 0,667
offline_datapoint_22 1686495547 4617084928,000
offline_datapoint_9 1686495547 7227727872,000
offline_datapoint_8 1686495545 0,304
offline_datapoint_14 1686495545 3,505
offline_datapoint_26 1686495545 1,781
offline_datapoint_15 1686495545 2716,727
offline_datapoint_20 1686495547 0,000
offline_datapoint_2 1686495545 3061,904
offline_datapoint_18 1686495545 422,550
offline_datapoint_0 1686495545 1,750
offline_datapoint_19 1686495545 12,673
offline_datapoint_12 1686495545 98,196
offline_datapoint_1 1686495545 4,336
offline_datapoint_24 1686495545 11533,474
offline_datapoint_6 1686495545 0,018
offline_datapoint_13 1686495550 251767,000
offline_datapoint_7 1686495550 2826,000
offline_datapoint_28 1686495550 598917120,000
offline_datapoint_16 1686495550 481566720,000
offline_datapoint_5 1686495550 8718962688,000
offline_datapoint_11 1686495550 219136000,000
offline_datapoint_27 1686495550 9890,000
offline_datapoint_21 1686495548 38,310
offline_datapoint_10 1686495548 12805,462
offline_datapoint_23 1686495550 219136000,000
offline_datapoint_3 1686495548 6,663
offline_datapoint_22 1686495550 4619100160,000
offline_datapoint_9 1686495550 7230795776,000
offline_datapoint_8 1686495548 0,130
offline_datapoint_14 1686495548 4,114
offline_datapoint_26 1686495548 2,472
offline_datapoint_15 1686495548 3708,054
offline_datapoint_20 1686495550 0,000
offline_datapoint_2 1686495548 4274,706
offline_datapoint_18 1686495548 1037,695
offline_datapoint_0 1686495548 1,909
offline_datapoint_19 1686495548 21,986
offline_datapoint_12 1686495548 97,926
offline_datapoint_1 1686495548 1,999
offline_datapoint_24 1686495548 15018,667
offline_datapoint_6 1686495548 0,019
offline_datapoint_13 1686495553 251767,000
offline_datapoint_7 1686495553 2825,000
offline_datapoint_28 1686495553 598917120,000
offline_datapoint_16 1686495553 481615872,000
offline_datapoint_5 1686495553 8719073280,000
offline_datapoint_11 1686495553 220381184,000
offline_datapoint_27 1686495553 9880,000
offline_datapoint_21 1686495551 8,338
offline_datapoint_10 1686495551 9806,019
offline_datapoint_23 1686495553 220381184,000
offline_datapoint_3 1686495551 1,334
offline_datapoint_22 1686495553 4620664832,000
offline_datapoint_9 1686495553 7213170688,000
offline_datapoint_8 1686495551 0,565
offline_datapoint_14 1686495551 6,029
offline_datapoint_26 1686495551 3,648
offline_datapoint_15 1686495551 4253,466
offline_datapoint_20 1686495553 0,000
offline_datapoint_2 1686495551 4690,720
offline_datapoint_18 1686495551 6856,975
offline_datapoint_0 1686495551 1,236
offline_datapoint_19 1686495551 19,678
offline_datapoint_12 1686495551 98,458
offline_datapoint_1 1686495551 1,334
offline_datapoint_24 1686495551 7567,186
offline_datapoint_6 1686495551 0,012
offline_datapoint_13 1686495556 251767,000
offline_datapoint_7 1686495556 2834,000
offline_datapoint_28 1686495556 598917120,000
offline_datapoint_16 1686495556 481693696,000
offline_datapoint_5 1686495556 8721383424,000
offline_datapoint_11 1686495556 220233728,000
offline_datapoint_27 1686495556 9876,000
offline_datapoint_21 1686495554 5,962
offline_datapoint_10 1686495554 11411,360
offline_datapoint_23 1686495556 220233728,000
offline_datapoint_3 1686495554 1,325
offline_datapoint_22 1686495556 4623474688,000
offline_datapoint_9 1686495556 7216578560,000
offline_datapoint_8 1686495554 0,518
offline_datapoint_14 1686495554 4,033
offline_datapoint_26 1686495554 2,502
offline_datapoint_15 1686495554 4498,165
offline_datapoint_20 1686495556 0,000
offline_datapoint_2 1686495554 5067,888
offline_datapoint_18 1686495554 938,056
offline_datapoint_0 1686495554 1,626
offline_datapoint_19 1686495554 21,199
offline_datapoint_12 1686495554 97,673
offline_datapoint_1 1686495554 5,962
offline_datapoint_24 1686495554 21184,000
offline_datapoint_6 1686495554 0,016
offline_datapoint_13 1686495559 251767,000
offline_datapoint_7 1686495559 2826,000
offline_datapoint_28 1686495559 598925312,000
offline_datapoint_16 1686495559 481693696,000
offline_datapoint_5 1686495559 8720281600,000
offline_datapoint_11 1686495559 221159424,000
offline_datapoint_27 1686495559 9877,000
offline_datapoint_21 1686495557 32,673
offline_datapoint_10 1686495557 9835,274
offline_datapoint_23 1686495559 221159424,000
offline_datapoint_3 1686495557 6,001
offline_datapoint_22 1686495559 4622323712,000
offline_datapoint_9 1686495559 7214485504,000
offline_datapoint_8 1686495557 0,260
offline_datapoint_14 1686495557 3,843
offline_datapoint_26 1686495557 2,301
offline_datapoint_15 1686495557 3107,280
offline_datapoint_20 1686495559 0,000
offline_datapoint_2 1686495557 3290,649
offline_datapoint_18 1686495557 6440,604
offline_datapoint_0 1686495557 1,340
offline_datapoint_19 1686495557 19,671
offline_datapoint_12 1686495557 98,310
offline_datapoint_1 1686495557 2,667
offline_datapoint_24 1686495557 16939,390
offline_datapoint_6 1686495557 0,013
offline_datapoint_13 1686495562 251767,000
offline_datapoint_7 1686495562 2819,000
offline_datapoint_28 1686495562 598925312,000
offline_datapoint_16 1686495562 481693696,000
offline_datapoint_5 1686495562 8720969728,000
offline_datapoint_11 1686495562 221573120,000
offline_datapoint_27 1686495562 9874,000
offline_datapoint_21 1686495560 10,643
offline_datapoint_10 1686495560 10049,764
offline_datapoint_23 1686495562 221573120,000
offline_datapoint_3 1686495560 1,330
offline_datapoint_22 1686495562 4622077952,000
offline_datapoint_9 1686495562 7212535808,000
offline_datapoint_8 1686495560 0,043
offline_datapoint_14 1686495560 4,195
offline_datapoint_26 1686495560 1,689
offline_datapoint_15 1686495560 2989,287
offline_datapoint_20 1686495562 0,000
offline_datapoint_2 1686495560 3157,243
offline_datapoint_18 1686495560 5513,285
offline_datapoint_0 1686495560 1,176
offline_datapoint_19 1686495560 4,989
offline_datapoint_12 1686495560 98,876
offline_datapoint_1 1686495560 3,658
offline_datapoint_24 1686495560 50517,333
offline_datapoint_6 1686495560 0,012
offline_datapoint_13 1686495565 251767,000
offline_datapoint_7 1686495565 2823,000
offline_datapoint_28 1686495565 598933504,000
offline_datapoint_16 1686495565 481693696,000
offline_datapoint_5 1686495565 8720842752,000
offline_datapoint_11 1686495565 221999104,000
offline_datapoint_27 1686495565 9873,000
offline_datapoint_21 1686495563 0,000
offline_datapoint_10 1686495563 7435,561
offline_datapoint_23 1686495565 221999104,000
offline_datapoint_3 1686495563 0,000
offline_datapoint_22 1686495565 4623998976,000
offline_datapoint_9 1686495565 7214292992,000
offline_datapoint_8 1686495563 0,174
offline_datapoint_14 1686495563 2,709
offline_datapoint_26 1686495563 1,562
offline_datapoint_15 1686495563 2606,543
offline_datapoint_20 1686495565 0,000
offline_datapoint_2 1686495563 2985,616
offline_datapoint_18 1686495563 789,458
offline_datapoint_0 1686495563 0,933
offline_datapoint_19 1686495563 6,995
offline_datapoint_12 1686495563 98,785
offline_datapoint_1 1686495563 0,666
offline_datapoint_24 1686495563 23600,762
offline_datapoint_6 1686495563 0,009
offline_datapoint_13 1686495568 251767,000
offline_datapoint_7 1686495568 2825,000
offline_datapoint_28 1686495568 598933504,000
offline_datapoint_16 1686495568 481693696,000
offline_datapoint_5 1686495568 8719486976,000
offline_datapoint_11 1686495568 221687808,000
offline_datapoint_27 1686495568 9875,000
offline_datapoint_21 1686495566 0,000
offline_datapoint_10 1686495566 1159,427
offline_datapoint_23 1686495568 221687808,000
offline_datapoint_3 1686495566 0,000
