406 1686495683 33210,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495684 33210,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495685 33210,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495686 7028,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495687 7028,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495688 7028,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495689 7028,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495690 7028,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495691 7908,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495692 7908,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495693 7908,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495694 7908,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495695 7908,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495696 34287,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495697 34287,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495698 34287,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495699 34287,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495700 34287,200000 -1,000000 -101,000000 0,000000 0,000000
406 1686495701 34643,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495702 34643,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495703 34643,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495704 34643,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495705 34643,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495706 36038,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495707 36038,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495708 36038,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495709 36038,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495710 36038,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495711 605,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495712 605,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495713 605,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495714 605,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495715 605,400000 -1,000000 -101,000000 0,000000 0,000000
406 1686495716 4874,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495717 4874,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495718 4874,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495719 4874,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495720 4874,000000 -1,000000 -101,000000 0,000000 0,000000
406 1686495721 43922,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495722 43922,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495723 43922,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495724 43922,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495725 43922,600000 -1,000000 -101,000000 0,000000 0,000000
406 1686495726 8137,400000 -1,000000 -101,000000 0,000000 0,000000
